"chart_date","rank","artist","title","aus_flag","last_week","peak","weeks_in"
2022-10-17,13,"Omar Apollo","Evergreen (You Didn't Deserve Me At All)",FALSE,"15",13,2
2022-10-17,14,"Ed Sheeran","Celestial",FALSE,"24",14,1
2022-10-17,15,"Dean Lewis","How Do I Say Goodbye",TRUE,"21",15,1
2022-10-17,16,"d4vd","Romantic Homicide",FALSE,"20",16,2
2022-10-17,17,"Beyonce","Break My Soul",FALSE,"17",3,17
2022-10-17,18,"Mac Miller","Love Lost",FALSE,"19",13,10
2022-10-17,19,"Drake Feat. 21 Savage","Jimmy Cooks",FALSE,"22",3,15
2022-10-17,20,"Oliver Tree & Robin Schulz","Miss You",FALSE,"–",20,1
2022-10-10,1,"Sam Smith & Kim Petras","Unholy",FALSE,"1",1,2
2022-10-10,2,"David Guetta & Bebe Rexha","I'm Good (Blue)",FALSE,"2",1,6
2022-10-10,3,"Nicki Minaj","Super Freaky Girl",FALSE,"3",1,8
2022-10-10,4,"Eliza Rose & Interplanetary Criminal","B.O.T.A. (Baddest of Them All)",FALSE,"4",3,7
2022-10-10,5,"Steve Lacy","Bad Habit",FALSE,"5",1,13
2022-10-10,6,"Lizzo","2 Be Loved (Am I Ready)",FALSE,"8",6,5
2022-10-10,7,"Central Cee","Doja",FALSE,"9",1,11
2022-10-10,8,"Elton John & Britney Spears","Hold Me Closer",FALSE,"7",1,6
2022-10-10,9,"Beyonce","Cuff It",FALSE,"11",9,7
2022-10-10,10,"Luke Combs","The Kind of Love We Make",FALSE,"13",9,7
2022-10-10,11,"Lil Nas X","STAR WALKIN' (League of Legends Worlds Anthem)",FALSE,"12",11,2
2022-10-10,12,"Lewis Capaldi","Forget Me",FALSE,"15",10,4
2022-10-10,13,"Armani White","Billie Eilish.",FALSE,"16",13,3
2022-10-10,14,"BlackPink","Shut Down",FALSE,"10",4,3
2022-10-10,15,"Omar Apollo","Evergreen (You Didn't Deserve Me At All)",FALSE,"22",15,1
2022-10-10,16,"Joji","Glimpse of Us",TRUE,"14",1,17
2022-10-10,17,"Beyonce","Break My Soul",FALSE,"17",3,16
2022-10-10,18,"Marshmello & Khalid","Numb",FALSE,"19",17,8
2022-10-10,19,"Mac Miller","Love Lost",FALSE,"20",13,9
2022-10-10,20,"d4vd","Romantic Homicide",FALSE,"23",20,1
2022-10-03,1,"Sam Smith & Kim Petras","Unholy",FALSE,"–",1,1
2022-10-03,2,"David Guetta & Bebe Rexha","I'm Good (Blue)",FALSE,"1",1,5
2022-10-03,3,"Nicki Minaj","Super Freaky Girl",FALSE,"2",1,7
2022-10-03,4,"Eliza Rose & Interplanetary Criminal","B.O.T.A. (Baddest of Them All)",FALSE,"3",3,6
2022-10-03,5,"Steve Lacy","Bad Habit",FALSE,"5",1,12
2022-10-03,6,"Post Malone Feat. Doja Cat","I Like You (A Happier Song)",FALSE,"7",5,17
2022-10-03,7,"Elton John & Britney Spears","Hold Me Closer",FALSE,"6",1,5
2022-10-03,8,"Lizzo","2 Be Loved (Am I Ready)",FALSE,"15",8,4
2022-10-03,9,"Central Cee","Doja",FALSE,"8",1,10
2022-10-03,10,"BlackPink","Shut Down",FALSE,"4",4,2
2022-10-03,11,"Beyonce","Cuff It",FALSE,"13",11,6
2022-10-03,12,"Lil Nas X","STAR WALKIN' (League of Legends Worlds Anthem)",FALSE,"–",12,1
2022-10-03,13,"Luke Combs","The Kind of Love We Make",FALSE,"11",9,6
2022-10-03,14,"Joji","Glimpse of Us",TRUE,"12",1,16
2022-10-03,15,"Lewis Capaldi","Forget Me",FALSE,"10",10,3
2022-10-03,16,"Armani White","Billie Eilish.",FALSE,"17",16,2
2022-10-03,17,"Beyonce","Break My Soul",FALSE,"14",3,15
2022-10-03,18,"BlackPink","Pink Venom",FALSE,"9",1,6
2022-10-03,19,"Marshmello & Khalid","Numb",FALSE,"19",17,7
2022-10-03,20,"Mac Miller","Love Lost",FALSE,"16",13,8
2022-09-26,1,"David Guetta & Bebe Rexha","I'm Good (Blue)",FALSE,"1",1,4
2022-09-26,2,"Nicki Minaj","Super Freaky Girl",FALSE,"2",1,6
2022-09-26,3,"Eliza Rose & Interplanetary Criminal","B.O.T.A. (Baddest of Them All)",FALSE,"3",3,5
2022-09-26,4,"BlackPink","Shut Down",FALSE,"–",4,1
2022-09-26,5,"Steve Lacy","Bad Habit",FALSE,"4",1,11
2022-09-26,6,"Elton John & Britney Spears","Hold Me Closer",FALSE,"5",1,4
2022-09-26,7,"Post Malone Feat. Doja Cat","I Like You (A Happier Song)",FALSE,"6",5,16
2022-09-26,8,"Central Cee","Doja",FALSE,"7",1,9
2022-09-26,9,"BlackPink","Pink Venom",FALSE,"12",1,5
2022-09-26,10,"Lewis Capaldi","Forget Me",FALSE,"10",10,2
2022-09-26,11,"Luke Combs","The Kind of Love We Make",FALSE,"9",9,5
2022-09-26,12,"Joji","Glimpse of Us",TRUE,"8",1,15
2022-09-26,13,"Beyonce","Cuff It",FALSE,"19",13,5
2022-09-26,14,"Beyonce","Break My Soul",FALSE,"11",3,14
2022-09-26,15,"Lizzo","2 Be Loved (Am I Ready)",FALSE,"16",15,3
2022-09-26,16,"Mac Miller","Love Lost",FALSE,"13",13,7
2022-09-26,17,"Armani White","Billie Eilish.",FALSE,"23",17,1
2022-09-26,18,"R3hab & Amy Shark","Sway My Way",TRUE,"14",12,10
2022-09-26,19,"Marshmello & Khalid","Numb",FALSE,"18",17,6
2022-09-26,20,"Drake Feat. 21 Savage","Jimmy Cooks",FALSE,"15",3,14
2022-09-19,1,"David Guetta & Bebe Rexha","I'm Good (Blue)",FALSE,"3",1,3
2022-09-19,2,"Nicki Minaj","Super Freaky Girl",FALSE,"1",1,5
2022-09-19,3,"Eliza Rose & Interplanetary Criminal","B.O.T.A. (Baddest of Them All)",FALSE,"10",3,4
2022-09-19,4,"Steve Lacy","Bad Habit",FALSE,"5",1,10
2022-09-19,5,"Elton John & Britney Spears","Hold Me Closer",FALSE,"4",1,3
2022-09-19,6,"Post Malone Feat. Doja Cat","I Like You (A Happier Song)",FALSE,"6",5,15
2022-09-19,7,"Central Cee","Doja",FALSE,"7",1,8
2022-09-19,8,"Joji","Glimpse of Us",TRUE,"8",1,14
2022-09-19,9,"Luke Combs","The Kind of Love We Make",FALSE,"26",9,4
2022-09-19,10,"Lewis Capaldi","Forget Me",FALSE,"–",10,1
2022-09-19,11,"Beyonce","Break My Soul",FALSE,"12",3,13
2022-09-19,12,"BlackPink","Pink Venom",FALSE,"9",1,4
2022-09-19,13,"Mac Miller","Love Lost",FALSE,"14",13,6
2022-09-19,14,"R3hab & Amy Shark","Sway My Way",TRUE,"13",12,9
2022-09-19,15,"Drake Feat. 21 Savage","Jimmy Cooks",FALSE,"16",3,13
2022-09-19,16,"Lizzo","2 Be Loved (Am I Ready)",FALSE,"18",16,2
2022-09-19,17,"Yung Gravy","Betty (Get Money)",FALSE,"15",14,10
2022-09-19,18,"Marshmello & Khalid","Numb",FALSE,"17",17,5
2022-09-19,19,"Beyonce","Cuff It",FALSE,"29",14,4
2022-09-19,20,"JVKE","golden hour",FALSE,"22",20,1
2022-09-12,1,"Nicki Minaj","Super Freaky Girl",FALSE,"2",1,4
2022-09-12,2,"OneRepublic","I Ain't Worried",FALSE,"3",2,13
2022-09-12,3,"David Guetta & Bebe Rexha","I'm Good (Blue)",FALSE,"9",3,2
2022-09-12,4,"Elton John & Britney Spears","Hold Me Closer",FALSE,"1",1,2
2022-09-12,5,"Steve Lacy","Bad Habit",FALSE,"4",1,9
2022-09-12,6,"Post Malone Feat. Doja Cat","I Like You (A Happier Song)",FALSE,"6",5,14
2022-09-12,7,"Central Cee","Doja",FALSE,"8",1,7
2022-09-12,8,"Joji","Glimpse of Us",TRUE,"7",1,13
2022-09-12,9,"BlackPink","Pink Venom",FALSE,"5",1,3
2022-09-12,10,"Eliza Rose & Interplanetary Criminal","B.O.T.A. (Baddest of Them All)",FALSE,"16",10,3
2022-09-12,11,"LF System","Afraid To Feel",FALSE,"11",11,4
2022-09-12,12,"Beyonce","Break My Soul",FALSE,"10",3,12
2022-09-12,13,"R3hab & Amy Shark","Sway My Way",TRUE,"12",12,8
2022-09-12,14,"Mac Miller","Love Lost",FALSE,"14",14,5
2022-09-12,15,"Yung Gravy","Betty (Get Money)",FALSE,"15",14,9
2022-09-12,16,"Drake Feat. 21 Savage","Jimmy Cooks",FALSE,"13",3,12
2022-09-12,17,"Marshmello & Khalid","Numb",FALSE,"17",17,4
2022-09-12,18,"Lizzo","2 Be Loved (Am I Ready)",FALSE,"21",18,1
2022-09-12,19,"Gorillaz Feat. Tame Impala and Bootie Brown","New Gold",FALSE,"384",19,1
2022-09-12,20,"Charlie Puth & Jung Kook of BTS","Left and Right",FALSE,"19",11,10
2022-09-05,1,"Elton John & Britney Spears","Hold Me Closer",FALSE,"–",1,1
2022-09-05,2,"Nicki Minaj","Super Freaky Girl",FALSE,"2",2,3
2022-09-05,3,"OneRepublic","I Ain't Worried",FALSE,"3",2,12
2022-09-05,4,"Steve Lacy","Bad Habit",FALSE,"4",1,8
2022-09-05,5,"BlackPink","Pink Venom",FALSE,"1",1,2
2022-09-05,6,"Post Malone Feat. Doja Cat","I Like You (A Happier Song)",FALSE,"6",5,13
2022-09-05,7,"Joji","Glimpse of Us",TRUE,"8",1,12
2022-09-05,8,"Central Cee","Doja",FALSE,"7",1,6
2022-09-05,9,"David Guetta & Bebe Rexha","I'm Good (Blue)",FALSE,"–",9,1
2022-09-05,10,"Beyonce","Break My Soul",FALSE,"10",3,11
2022-09-05,11,"LF System","Afraid To Feel",FALSE,"13",11,3
2022-09-05,12,"R3hab & Amy Shark","Sway My Way",TRUE,"12",12,7
2022-09-05,13,"Drake Feat. 21 Savage","Jimmy Cooks",FALSE,"11",3,11
2022-09-05,14,"Mac Miller","Love Lost",FALSE,"14",14,4
2022-09-05,15,"Yung Gravy","Betty (Get Money)",FALSE,"15",14,8
2022-09-05,16,"Eliza Rose & Interplanetary Criminal","B.O.T.A. (Baddest of Them All)",FALSE,"20",16,2
2022-09-05,17,"Marshmello & Khalid","Numb",FALSE,"18",17,3
2022-09-05,18,"DJ Khaled Feat. Drake & Lil Baby","Staying Alive",FALSE,"16",10,4
2022-09-05,19,"Charlie Puth & Jung Kook of BTS","Left and Right",FALSE,"19",11,9
2022-09-05,20,"Twice","Talk that Talk",FALSE,"–",20,1
2022-08-29,1,"BlackPink","Pink Venom",FALSE,"–",1,1
2022-08-29,2,"Nicki Minaj","Super Freaky Girl",FALSE,"2",2,2
2022-08-29,3,"OneRepublic","I Ain't Worried",FALSE,"3",2,11
2022-08-29,4,"Steve Lacy","Bad Habit",FALSE,"1",1,7
2022-08-29,5,"Nicky Youre & Dazy","Sunroof",FALSE,"7",5,11
2022-08-29,6,"Post Malone Feat. Doja Cat","I Like You (A Happier Song)",FALSE,"6",5,12
2022-08-29,7,"Central Cee","Doja",FALSE,"4",1,5
2022-08-29,8,"Joji","Glimpse of Us",TRUE,"5",1,11
2022-08-29,9,"Doja Cat","Vegas",FALSE,"8",3,12
2022-08-29,10,"Beyonce","Break My Soul",FALSE,"9",3,10
2022-08-29,11,"Drake Feat. 21 Savage","Jimmy Cooks",FALSE,"10",3,10
2022-08-29,12,"R3hab & Amy Shark","Sway My Way",TRUE,"13",12,6
2022-08-29,13,"LF System","Afraid To Feel",FALSE,"19",13,2
2022-08-29,14,"Mac Miller","Love Lost",FALSE,"16",14,3
2022-08-29,15,"Yung Gravy","Betty (Get Money)",FALSE,"14",14,7
2022-08-29,16,"DJ Khaled Feat. Drake & Lil Baby","Staying Alive",FALSE,"11",10,3
2022-08-29,17,"Future Feat. Drake & Tems","WAIT FOR U",FALSE,"15",10,12
2022-08-29,18,"Marshmello & Khalid","Numb",FALSE,"17",17,2
2022-08-29,19,"Charlie Puth & Jung Kook of BTS","Left and Right",FALSE,"18",11,8
2022-08-29,20,"Eliza Rose & Interplanetary Criminal","B.O.T.A. (Baddest of Them All)",FALSE,"38",20,1
2022-08-22,1,"Steve Lacy","Bad Habit",FALSE,"1",1,6
2022-08-22,2,"Nicki Minaj","Super Freaky Girl",FALSE,"–",2,1
2022-08-22,3,"OneRepublic","I Ain't Worried",FALSE,"2",2,10
2022-08-22,4,"Central Cee","Doja",FALSE,"4",1,4
2022-08-22,5,"Joji","Glimpse of Us",TRUE,"6",1,10
2022-08-22,6,"Post Malone Feat. Doja Cat","I Like You (A Happier Song)",FALSE,"7",5,11
2022-08-22,7,"Nicky Youre & Dazy","Sunroof",FALSE,"9",7,10
2022-08-22,8,"Doja Cat","Vegas",FALSE,"8",3,11
2022-08-22,9,"Beyonce","Break My Soul",FALSE,"3",3,9
2022-08-22,10,"Drake Feat. 21 Savage","Jimmy Cooks",FALSE,"11",3,9
2022-08-22,11,"DJ Khaled Feat. Drake & Lil Baby","Staying Alive",FALSE,"10",10,2
2022-08-22,12,"The Kid Laroi","Thousand Miles",TRUE,"12",4,11
2022-08-22,13,"R3hab & Amy Shark","Sway My Way",TRUE,"14",13,5
2022-08-22,14,"Yung Gravy","Betty (Get Money)",FALSE,"15",14,6
2022-08-22,15,"Future Feat. Drake & Tems","WAIT FOR U",FALSE,"17",10,11
2022-08-22,16,"Mac Miller","Love Lost",FALSE,"18",16,2
2022-08-22,17,"Marshmello & Khalid","Numb",FALSE,"21",17,1
2022-08-22,18,"Charlie Puth & Jung Kook of BTS","Left and Right",FALSE,"22",11,7
2022-08-22,19,"LF System","Afraid To Feel",FALSE,"32",19,1
2022-08-22,20,"Beyonce","Cuff It",FALSE,"19",14,3
2022-08-15,1,"Steve Lacy","Bad Habit",FALSE,"2",1,5
2022-08-15,2,"OneRepublic","I Ain't Worried",FALSE,"5",2,9
2022-08-15,3,"Beyonce","Break My Soul",FALSE,"3",3,8
2022-08-15,4,"Central Cee","Doja",FALSE,"1",1,3
2022-08-15,5,"Lizzo","About Damn Time",FALSE,"6",2,10
2022-08-15,6,"Joji","Glimpse of Us",TRUE,"4",1,9
2022-08-15,7,"Post Malone Feat. Doja Cat","I Like You (A Happier Song)",FALSE,"7",5,10
2022-08-15,8,"Doja Cat","Vegas",FALSE,"9",3,10
2022-08-15,9,"Nicky Youre & Dazy","Sunroof",FALSE,"10",9,9
2022-08-15,10,"DJ Khaled Feat. Drake & Lil Baby","Staying Alive",FALSE,"–",10,1
2022-08-15,11,"Drake Feat. 21 Savage","Jimmy Cooks",FALSE,"11",3,8
2022-08-15,12,"The Kid Laroi","Thousand Miles",TRUE,"12",4,10
2022-08-15,13,"Harry Styles","Late Night Talking",FALSE,"13",6,10
2022-08-15,14,"R3hab & Amy Shark","Sway My Way",FALSE,"16",14,4
2022-08-15,15,"Yung Gravy","Betty (Get Money)",FALSE,"15",15,5
2022-08-15,16,"Benny Blanco, BTS and Snoop Dogg","Bad Decisions",FALSE,"–",16,1
2022-08-15,17,"Future Feat. Drake & Tems","WAIT FOR U",FALSE,"17",10,10
2022-08-15,18,"Mac Miller","Love Lost",FALSE,"28",18,1
2022-08-15,19,"Beyonce","Cuff It",FALSE,"14",14,2
2022-08-15,20,"KSI Feat. Tom Grennan","Not Over Yet",FALSE,"–",20,1
2022-08-08,1,"Central Cee","Doja",FALSE,"5",1,2
2022-08-08,2,"Steve Lacy","Bad Habit",FALSE,"2",2,4
2022-08-08,3,"Beyonce","Break My Soul",FALSE,"12",3,7
2022-08-08,4,"Joji","Glimpse of Us",TRUE,"1",1,8
2022-08-08,5,"OneRepublic","I Ain't Worried",FALSE,"3",3,8
2022-08-08,6,"Lizzo","About Damn Time",FALSE,"4",2,9
2022-08-08,7,"Post Malone Feat. Doja Cat","I Like You (A Happier Song)",FALSE,"8",5,9
2022-08-08,8,"Jack Harlow","First Class",FALSE,"6",2,9
2022-08-08,9,"Doja Cat","Vegas",FALSE,"7",3,9
2022-08-08,10,"Nicky Youre & Dazy","Sunroof",FALSE,"11",10,8
2022-08-08,11,"Drake Feat. 21 Savage","Jimmy Cooks",FALSE,"9",3,7
2022-08-08,12,"The Kid Laroi","Thousand Miles",TRUE,"10",4,9
2022-08-08,13,"Harry Styles","Late Night Talking",FALSE,"13",6,9
2022-08-08,14,"Beyonce","Cuff It",FALSE,"–",14,1
2022-08-08,15,"Yung Gravy","Betty (Get Money)",FALSE,"15",15,4
2022-08-08,16,"R3hab & Amy Shark","Sway My Way",FALSE,"18",16,3
2022-08-08,17,"Future Feat. Drake & Tems","WAIT FOR U",FALSE,"16",10,9
2022-08-08,18,"Beyonce","Alien Superstar",FALSE,"–",18,1
2022-08-08,19,"Billie Eilish","TV",FALSE,"14",14,2
2022-08-08,20,"Charlie Puth & Jung Kook of BTS","Left and Right",FALSE,"19",11,6
2022-08-01,1,"Joji","Glimpse of Us",TRUE,"2",1,7
2022-08-01,2,"Steve Lacy","Bad Habit",FALSE,"7",2,3
2022-08-01,3,"OneRepublic","I Ain't Worried",FALSE,"5",3,7
2022-08-01,4,"Lizzo","About Damn Time",FALSE,"3",2,8
2022-08-01,5,"Central Cee","Doja",FALSE,"–",5,1
2022-08-01,6,"Jack Harlow","First Class",FALSE,"6",2,8
2022-08-01,7,"Doja Cat","Vegas",FALSE,"4",3,8
2022-08-01,8,"Post Malone Feat. Doja Cat","I Like You (A Happier Song)",FALSE,"8",5,8
2022-08-01,9,"Drake Feat. 21 Savage","Jimmy Cooks",FALSE,"9",3,6
2022-08-01,10,"The Kid Laroi","Thousand Miles",TRUE,"10",4,8
2022-08-01,11,"Nicky Youre & Dazy","Sunroof",FALSE,"13",11,7
2022-08-01,12,"Beyonce","Break My Soul",FALSE,"11",7,6
2022-08-01,13,"Harry Styles","Late Night Talking",FALSE,"12",6,8
2022-08-01,14,"Billie Eilish","TV",FALSE,"–",14,1
2022-08-01,15,"Yung Gravy","Betty (Get Money)",FALSE,"15",15,3
2022-08-01,16,"Future Feat. Drake & Tems","WAIT FOR U",FALSE,"14",10,8
2022-08-01,17,"Billie Eilish","The 30th",FALSE,"–",17,1
2022-08-01,18,"R3hab & Amy Shark","Sway My Way",FALSE,"20",18,2
2022-08-01,19,"Charlie Puth & Jung Kook of BTS","Left and Right",FALSE,"16",11,5
2022-08-01,20,"Post Malone Feat. Roddy Ricch","Cooped Up",FALSE,"18",7,8
2022-07-25,1,"Harry Styles","As It Was",FALSE,"1",1,7
2022-07-25,2,"Joji","Glimpse of Us",TRUE,"2",1,6
2022-07-25,3,"Lizzo","About Damn Time",FALSE,"4",2,7
2022-07-25,4,"Doja Cat","Vegas",FALSE,"3",3,7
2022-07-25,5,"OneRepublic","I Ain't Worried",FALSE,"5",5,6
2022-07-25,6,"Jack Harlow","First Class",FALSE,"6",2,7
2022-07-25,7,"Steve Lacy","Bad Habit",FALSE,"20",7,2
2022-07-25,8,"Post Malone Feat. Doja Cat","I Like You (A Happier Song)",FALSE,"7",5,7
2022-07-25,9,"Drake Feat. 21 Savage","Jimmy Cooks",FALSE,"8",3,5
2022-07-25,10,"The Kid Laroi","Thousand Miles",TRUE,"9",4,7
2022-07-25,11,"Beyonce","Break My Soul",FALSE,"10",7,5
2022-07-25,12,"Harry Styles","Late Night Talking",FALSE,"11",6,7
2022-07-25,13,"Nicky Youre & Dazy","Sunroof",FALSE,"12",12,6
2022-07-25,14,"Future Feat. Drake & Tems","WAIT FOR U",FALSE,"14",10,7
2022-07-25,15,"Yung Gravy","Betty (Get Money)",FALSE,"18",15,2
2022-07-25,16,"Charlie Puth & Jung Kook of BTS","Left and Right",FALSE,"13",11,4
2022-07-25,17,"Drake","Massive",FALSE,"16",9,5
2022-07-25,18,"Post Malone Feat. Roddy Ricch","Cooped Up",FALSE,"17",7,7
2022-07-25,19,"Lady Gaga","Hold My Hand",FALSE,"19",15,7
2022-07-25,20,"R3hab & Amy Shark","Sway My Way",FALSE,"22",20,1
2022-07-18,1,"Harry Styles","As It Was",FALSE,"2",1,6
2022-07-18,2,"Joji","Glimpse of Us",TRUE,"1",1,5
2022-07-18,3,"Doja Cat","Vegas",FALSE,"3",3,6
2022-07-18,4,"Lizzo","About Damn Time",FALSE,"4",2,6
2022-07-18,5,"OneRepublic","I Ain't Worried",FALSE,"8",5,5
2022-07-18,6,"Jack Harlow","First Class",FALSE,"5",2,6
2022-07-18,7,"Post Malone Feat. Doja Cat","I Like You (A Happier Song)",FALSE,"10",5,6
2022-07-18,8,"Drake Feat. 21 Savage","Jimmy Cooks",FALSE,"6",3,4
2022-07-18,9,"The Kid Laroi","Thousand Miles",TRUE,"9",4,6
2022-07-18,10,"Beyonce","Break My Soul",FALSE,"7",7,4
2022-07-18,11,"Harry Styles","Late Night Talking",FALSE,"11",6,6
2022-07-18,12,"Nicky Youre & Dazy","Sunroof",FALSE,"13",12,5
2022-07-18,13,"Charlie Puth & Jung Kook of BTS","Left and Right",FALSE,"12",11,3
2022-07-18,14,"Future Feat. Drake & Tems","WAIT FOR U",FALSE,"15",10,6
2022-07-18,15,"Fivio Foreign & The Kid LAROI","Paris to Tokyo",FALSE,"–",15,1
2022-07-18,16,"Drake","Massive",FALSE,"14",9,4
2022-07-18,17,"Post Malone Feat. Roddy Ricch","Cooped Up",FALSE,"18",7,6
2022-07-18,18,"Yung Gravy","Betty (Get Money)",FALSE,"37",18,1
2022-07-18,19,"Lady Gaga","Hold My Hand",FALSE,"16",15,6
2022-07-18,20,"Steve Lacy","Bad Habit",FALSE,"53",20,1
2022-07-11,1,"Joji","Glimpse of Us",TRUE,"1",1,4
2022-07-11,2,"Harry Styles","As It Was",FALSE,"2",1,5
2022-07-11,3,"Doja Cat","Vegas",FALSE,"4",3,5
2022-07-11,4,"Lizzo","About Damn Time",FALSE,"3",2,5
2022-07-11,5,"Jack Harlow","First Class",FALSE,"5",2,5
2022-07-11,6,"Drake Feat. 21 Savage","Jimmy Cooks",FALSE,"6",3,3
2022-07-11,7,"Beyonce","Break My Soul",FALSE,"7",7,3
2022-07-11,8,"OneRepublic","I Ain't Worried",FALSE,"12",8,4
2022-07-11,9,"The Kid Laroi","Thousand Miles",TRUE,"8",4,5
2022-07-11,10,"Post Malone Feat. Doja Cat","I Like You (A Happier Song)",FALSE,"9",5,5
2022-07-11,11,"Harry Styles","Late Night Talking",FALSE,"10",6,5
2022-07-11,12,"Charlie Puth & Jung Kook of BTS","Left and Right",FALSE,"11",11,2
2022-07-11,13,"Nicky Youre & Dazy","Sunroof",FALSE,"16",13,4
2022-07-11,14,"Drake","Massive",FALSE,"13",9,3
2022-07-11,15,"Future Feat. Drake & Tems","WAIT FOR U",FALSE,"15",10,5
2022-07-11,16,"Lady Gaga","Hold My Hand",FALSE,"20",15,5
2022-07-11,17,"Luke Combs","The Kind of Love We Make",FALSE,"14",14,3
2022-07-11,18,"Post Malone Feat. Roddy Ricch","Cooped Up",FALSE,"19",7,5
2022-07-11,19,"Cardi B Feat. Ye & Lil Durk","Hot S**t",FALSE,"–",19,1
2022-07-11,20,"Drake","Sticky",FALSE,"17",11,3
2022-07-04,1,"Joji","Glimpse of Us",TRUE,"1",1,3
2022-07-04,2,"Harry Styles","As It Was",FALSE,"2",1,4
2022-07-04,3,"Lizzo","About Damn Time",FALSE,"4",2,4
2022-07-04,4,"Doja Cat","Vegas",FALSE,"6",4,4
2022-07-04,5,"Jack Harlow","First Class",FALSE,"5",2,4
2022-07-04,6,"Drake Feat. 21 Savage","Jimmy Cooks",FALSE,"3",3,2
2022-07-04,7,"Beyonce","Break My Soul",FALSE,"19",7,2
2022-07-04,8,"The Kid Laroi","Thousand Miles",TRUE,"7",4,4
2022-07-04,9,"Post Malone Feat. Doja Cat","I Like You (A Happier Song)",FALSE,"8",5,4
2022-07-04,10,"Harry Styles","Late Night Talking",FALSE,"10",6,4
2022-07-04,11,"Charlie Puth & Jung Kook of BTS","Left and Right",FALSE,"–",11,1
2022-07-04,12,"OneRepublic","I Ain't Worried",FALSE,"13",12,3
2022-07-04,13,"Drake","Massive",FALSE,"9",9,2
2022-07-04,14,"Luke Combs","The Kind of Love We Make",FALSE,"14",14,2
2022-07-04,15,"Future Feat. Drake & Tems","WAIT FOR U",FALSE,"12",10,4
2022-07-04,16,"Nicky Youre & Dazy","Sunroof",FALSE,"18",16,3
2022-07-04,17,"Drake","Sticky",FALSE,"11",11,2
2022-07-04,18,"Camila Cabello Feat. Ed Sheeran","Bam Bam",FALSE,"16",12,4
2022-07-04,19,"Post Malone Feat. Roddy Ricch","Cooped Up",FALSE,"15",7,4
2022-07-04,20,"Lady Gaga","Hold My Hand",FALSE,"20",15,4
2022-06-27,1,"Joji","Glimpse of Us",TRUE,"3",1,2
2022-06-27,2,"Harry Styles","As It Was",FALSE,"1",1,3
2022-06-27,3,"Drake Feat. 21 Savage","Jimmy Cooks",FALSE,"–",3,1
2022-06-27,4,"Lizzo","About Damn Time",FALSE,"2",2,3
2022-06-27,5,"Jack Harlow","First Class",FALSE,"4",2,3
2022-06-27,6,"Doja Cat","Vegas",FALSE,"8",6,3
2022-06-27,7,"The Kid Laroi","Thousand Miles",TRUE,"5",4,3
2022-06-27,8,"Post Malone Feat. Doja Cat","I Like You (A Happier Song)",FALSE,"6",5,3
2022-06-27,9,"Drake","Massive",FALSE,"–",9,1
2022-06-27,10,"Harry Styles","Late Night Talking",FALSE,"7",6,3
2022-06-27,11,"Drake","Sticky",FALSE,"–",11,1
2022-06-27,12,"Future Feat. Drake & Tems","WAIT FOR U",FALSE,"11",10,3
2022-06-27,13,"OneRepublic","I Ain't Worried",FALSE,"14",13,2
2022-06-27,14,"Luke Combs","The Kind of Love We Make",FALSE,"–",14,1
2022-06-27,15,"Post Malone Feat. Roddy Ricch","Cooped Up",FALSE,"10",7,3
2022-06-27,16,"Camila Cabello Feat. Ed Sheeran","Bam Bam",FALSE,"12",12,3
2022-06-27,17,"Harry Styles","Matilda",FALSE,"13",8,3
2022-06-27,18,"Nicky Youre & Dazy","Sunroof",FALSE,"17",17,2
2022-06-27,19,"Beyonce","Break My Soul",FALSE,"–",19,1
2022-06-27,20,"Lady Gaga","Hold My Hand",FALSE,"15",15,3
2022-06-20,1,"Harry Styles","As It Was",FALSE,"1",1,2
2022-06-20,2,"Lizzo","About Damn Time",FALSE,"3",2,2
2022-06-20,3,"Joji","Glimpse of Us",TRUE,"–",3,1
2022-06-20,4,"Jack Harlow","First Class",FALSE,"2",2,2
2022-06-20,5,"The Kid Laroi","Thousand Miles",TRUE,"4",4,2
2022-06-20,6,"Post Malone Feat. Doja Cat","I Like You (A Happier Song)",FALSE,"5",5,2
2022-06-20,7,"Harry Styles","Late Night Talking",FALSE,"6",6,2
2022-06-20,8,"Doja Cat","Vegas",FALSE,"9",8,2
2022-06-20,9,"BTS","Yet To Come",FALSE,"–",9,1
2022-06-20,10,"Post Malone Feat. Roddy Ricch","Cooped Up",FALSE,"7",7,2
2022-06-20,11,"Future Feat. Drake & Tems","WAIT FOR U",FALSE,"10",10,2
2022-06-20,12,"Camila Cabello Feat. Ed Sheeran","Bam Bam",FALSE,"12",12,2
2022-06-20,13,"Harry Styles","Matilda",FALSE,"8",8,2
2022-06-20,14,"OneRepublic","I Ain't Worried",FALSE,"30",14,1
2022-06-20,15,"Lady Gaga","Hold My Hand",FALSE,"16",15,2
2022-06-20,16,"Sleepy Hallow Feat. 347aidan","Die Young",FALSE,"14",14,2
2022-06-20,17,"Nicky Youre & Dazy","Sunroof",FALSE,"23",17,1
2022-06-20,18,"Vance Joy","Clarity",TRUE,"24",18,1
2022-06-20,19,"Kanye West & XXXTentacion","True Love",FALSE,"11",11,2
2022-06-20,20,"Leah Kate","10 Things I Hate About You",FALSE,"15",15,2
